Organs,Category,Diseases,Basic,index,UID
Nervous System,Cerebrovascular disorders,Cerebral aneurysm,,TBL-01-00-029,Jlvnlcg
Nervous System,Cerebrovascular disorder,Cerebral arteriovenous malformation,,TBL-01-00-030,Jlvnlck
Nervous System,Cerebrovascular disorders,Moyamoya disease,,TBL-01-00-031,Jlvnlcs
Nervous System,"Infectious, Inflammatory and Demyelinating Diseases",Encephalitis / meningitis,●,TBL-01-00-032,Jlvnlcw
Nervous System,"Infectious, Inflammatory, and Demyelinating Diseases",Encephalopathy,,TBL-01-00-033,Jlvnlc4
Nervous System,"Infectious, Inflammatory, and Demyelinating Diseases",Brain abscess,,TBL-01-00-034,Jlvnlc8
Nervous System,"Infectious, Inflammatory, and Demyelinating Diseases",Multiple sclerosis,●,TBL-01-00-035,JlvnldE
Nervous System,Dementia and Degenerative Diseases,Alzheimer's dementia,●,TBL-01-00-036,JlvnldM
Nervous System,Dementia and Degenerative Diseases,Lewy body dementia,,TBL-01-00-037,JlvnldQ
Nervous System,Dementia and Degenerative Diseases,Cerebrovascular dementia,,TBL-01-00-038,JlvnldY
Nervous System,Dementia and Degenerative Diseases,Parkinson's disease,●,TBL-01-00-039,Jlvnldc
Nervous System,Dementia and Degenerative Diseases,Amyotrophic lateral sclerosis,,TBL-01-00-040,Jlvnldk
Nervous System,Dementia and Degenerative Diseases,Multiple System Atrophy,,TBL-01-00-041,Jlvnldo
Nervous System,"Peripheral Nerve, Neuromuscular Junction and Muscle Diseases",Nutritional Neuropathy,,TBL-01-00-042,Jlvnldw
Nervous System,Peripheral Nerve and Nerve Muscle Junction and Muscle Diseases,Addictive neuropathy,,TBL-01-00-043,Jlvnld0
Nervous System,Peripheral Nerve and Nerve Muscle Junction and Muscle Disease,Hereditary neuropathies,,TBL-01-00-044,Jlvnld8
Nervous System,Peripheral Nerve and Nerve Muscle Junction and Muscle Disease,Guillain-Barré syndrome,,TBL-01-00-045,JlvnleA
Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Facial nerve palsy (including Bell's palsy and Ramsay Hunt syndrome),,TBL-01-00-046,JlvnleE
Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Recurrent nerve palsy,,TBL-01-00-047,JlvnleI
Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease","Major neuropathies (trigeminal neuralgia, sciatica)",,TBL-01-00-048,JlvnleQ
Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Myasthenia gravis,●,TBL-01-00-049,JlvnleU
Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Progressive muscular dystrophy,,TBL-01-00-050,Jlvnlec
Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Periodic tetraplegia,,TBL-01-00-051,Jlvnleg
Nervous System,"Paroxysmal, Functional, and Autonomic Nervous System Diseases",Generalized epilepsy,●,TBL-01-00-052,Jlvnleo
Nervous System,"Paroxysmal, Functional, Autonomic Nervous System Diseases",Localization-related epilepsy,●,TBL-01-00-053,Jlvnles
Nervous System,"Paroxysmal, Functional, Autonomic Nervous System Diseases",Migraine headache,●,TBL-01-00-054,Jlvnle0
Nervous System,"Paroxysmal, Functional, Autonomic Nervous System Diseases",Tension-type headache,●,TBL-01-00-055,Jlvnle8
Nervous System,Head injury,Cerebral contusion,,TBL-01-00-056,JlvnlfA
Nervous System,Head injury,Concussion,,TBL-01-00-057,JlvnlfI
Nervous System,Head injury,Acute epidural hematoma,●,TBL-01-00-058,JlvnlfU
Nervous System,Head injury,Subdural hematoma (acute and chronic),●,TBL-01-00-059,JlvnlfY
Nervous System,Head injury,Skull fracture,,TBL-01-00-060,Jlvnlfg
Nervous System,Head injury,Higher functional impairment after head injury,,TBL-01-00-061,Jlvnlfo
Dermal system,Eczema & Dermatitis,Eczema reaction (eczema triangle),●,TBL-01-00-062,JlvnlgE
dermal system,Other,prurigo,,TBL-01-00-063,Jlvnlmk
Dermal system,Eczema & Dermatitis,Contact dermatitis,●,TBL-01-00-064,JlvnlgM
Dermal system,Eczema & Dermatitis,Atopic dermatitis,●,TBL-01-00-065,JlvnlgQ
Dermal system,Eczema & Dermatitis,Seborrheic dermatitis,,TBL-01-00-066,JlvnlgY
Dermal system,Eczema & Dermatitis,Nummular eczema,,TBL-01-00-067,Jlvnlgg
dermal system,Eczema & Dermatitis,Asteatotic eczema,,TBL-01-00-068,Jlvnlgk
dermal system,Eczema & Dermatitis,Auto-sensitization dermatitis,,TBL-01-00-069,Jlvnlgs
dermal system,"Urticaria, Erythema, Erythroderma and Pruritus",urticaria,●,TBL-01-00-070,Jlvnlg4
dermal system,"Urticaria, Erythema, Erythroderma and Pruritus",Erythema Exsudativum Multiforme,,TBL-01-00-071,JlvnlhE
dermal system,"Urticaria, Erythema, Erythroderma and Pruritus",Erythema Nodosum,,TBL-01-00-072,JlvnlhI
dermal system,"Urticaria, Erythema, Erythroderma and Pruritus",Erythema Annulare,,TBL-01-00-073,JlvnlhQ
dermal system,"Urticaria, Erythema, Erythroderma and Pruritus",Erythroderma,,TBL-01-00-074,JlvnlhU
dermal system,"Urticaria, Erythema, Erythroderma and Pruritus",Pruritus,,TBL-01-00-075,Jlvnlhc
dermal system,Drug Eruption and Drug-related Disorders,Fixed drug eruption,,TBL-01-00-076,Jlvnlh0
dermal system,Drug Eruption and Drug-related Disorders,Stevens-Johnson syndrome,●,TBL-01-00-077,Jlvnlh8
dermal system,Drug Eruption and Drug Disorders,Drug-Induced Hypersensitivity Syndrome <DIHS,,TBL-01-00-078,JlvnliI
dermal system,Bullous and pustular,Pustulosis Palmoplantaris,,TBL-01-00-079,Jlvnlic
dermal system,Psoriasis and Keratosis,Psoriasis Vulgaris,,TBL-01-00-080,Jlvnlio
dermal system,Psoriasis and Keratosis,Lichen Planus,,TBL-01-00-081,Jlvnlis
dermal system,Psoriasis and Keratosis,Pityriasis Rosea Giibert,,TBL-01-00-082,Jlvnli0
dermal system,Skin Infections,Impetigo contagiosa,,TBL-01-00-083,JlvnljA
dermal system,Skin Infections,Carbuncles,,TBL-01-00-084,JlvnljE
dermal system,Skin Infections,Folliculitis,,TBL-01-00-085,JlvnljM
dermal system,Skin Infections,Erysipelas,,TBL-01-00-086,JlvnljY
dermal system,Skin Infections,Staphylococcal burn-like skin syndrome <SSSSS,,TBL-01-00-087,Jlvnljg
dermal system,Skin Infections,cellulitis,●,TBL-01-00-088,Jlvnljk
dermal system,Skin Infections,Necrotizing fasciitis,,TBL-01-00-089,Jlvnljs
dermal system,Skin Infections,Dermatomycosis (superficial and deep),,TBL-01-00-090,Jlvnljw
dermal system,Skin Infections,Cutaneous mycosis antimycobacteria,,TBL-01-00-091,Jlvnlj4
dermal system,Skin Infections,Scabies,●,TBL-01-00-092,Jlvnlj8
dermal system,Skin Infections,"Skin manifestations associated with acquired immunodeficiency syndrome <AIDS> (syphilis, intractable herpes, molluscum contagiosum, Kaposi's sarcoma, etc.)",●,TBL-01-00-093,Jlvnlk8
dermal system,Skin Infections,Herpes simplex,●,TBL-01-00-094,JlvnlkE
dermal system,Skin Infections,Herpes zoster,●,TBL-01-00-095,JlvnlkM
dermal system,Skin Infections,Verruca vulgaris,,TBL-01-00-096,JlvnlkQ
dermal system,Skin Infections,Molluscum contagiosum,,TBL-01-00-097,JlvnlkY
dermal system,Skin Infections,Measles,,TBL-01-00-098,Jlvnlkc
dermal system,Skin Infections,Rubella,,TBL-01-00-099,Jlvnlkk
dermal system,Skin Infections,Varicella,,TBL-01-00-100,Jlvnlko
dermal system,Skin Infections,Erythema Infectiosum,,TBL-01-00-101,Jlvnlkw
dermal system,Skin Infections,"Hand, foot and mouth disease",,TBL-01-00-102,Jlvnlk0
dermal system,Nevoid Skin Diseases,Nevus,,TBL-01-00-103,JlvnllE
dermal system,Adnexal Diseases,"Nail diseases (spoon-shaped nails, ingrown toenails)",,TBL-01-00-104,Jlvnllg
dermal system,Adnexal Diseases,Sweat rash,,TBL-01-00-105,Jlvnllo
dermal system,Adnexal Diseases,Hyperhidrosis,,TBL-01-00-106,Jlvnlls
dermal system,Adnexal Diseases,Anhidrosis,,TBL-01-00-107,Jlvnll0
dermal system,Other,Acne Vulgaris,,TBL-01-00-108,Jlvnll4
dermal system,Other,Dermatitis rosacea,,TBL-01-00-109,JlvnlmA
dermal system,Other,Decubitus ulcers,●,TBL-01-00-110,JlvnlmI
dermal system,Other,keloids,,TBL-01-00-111,JlvnlmM
dermal system,Other,Powdery Mildew,,TBL-01-00-112,JlvnlmU
dermal system,Other,Vitiligo vulgaris,,TBL-01-00-113,JlvnlmY
dermal system,Other,Pyoderma gangrenosum,,TBL-01-00-114,Jlvnlmg
dermal system,Other,prurigo,,TBL-01-00-115,Jlvnlmk
Dermal system,None,Frostbite/electric burns,,TBL-01-00-116,Jlvnlm4
Motor (musculoskeletal) system,None None,Extremity and spinal trauma,,TBL-01-00-117,Jlvnlm8
Motor (musculoskeletal) system,None None,Spinal cord injury,●,TBL-01-00-118,Jlvnlpc
Motor (musculoskeletal) system,None None,Fracture,●,TBL-01-00-119,Jlvnlnk
Motor (musculoskeletal) system,None None,dislocation,,TBL-01-00-120,JlvnlnE
Motor (musculoskeletal) system,None None,"Tendon, ligament, meniscus injuries",,TBL-01-00-121,JlvnlnQ
Motor (musculoskeletal) system,None None,"Muscle injuries, contusion syndrome, compartment syndrome",,TBL-01-00-122,Jlvnlno
Motor (musculoskeletal) system,None None,Fracture,,TBL-01-00-123,JmpYuec
Motor (musculoskeletal) system,None None,Thrusting finger,,TBL-01-00-124,JmpYnGo
Motor (musculoskeletal) system,Strangulated peripheral neuropathy,Thoracic outlet syndrome,,TBL-01-00-125,JlvnlpA
Motor (musculoskeletal) system,Strangulated peripheral neuropathy,Carpal tunnel syndrome,,TBL-01-00-126,JlvnlpI
Motor (musculoskeletal) system,Strangulated peripheral neuropathy,"Elbow Tunnel Syndrome, etc.",,TBL-01-00-127,JlvnlpQ
Motor (musculoskeletal) system,Infectious disease,Pyogenic arthritis,,TBL-01-00-128,JlvnlqM
Motor (musculoskeletal) system,Infectious disease,Osteomyelitis,,TBL-01-00-129,JlvnlqU
Motor (musculoskeletal) system,None,"Discitis, pyogenic spondylitis, spinal caries",,TBL-01-00-130,JlvnlqY
Motor (musculoskeletal) system,Metabolic bone disease,Osteoporosis,●,TBL-01-00-131,Jlvnlnw
Motor (musculoskeletal) system,Metabolic bone disease,Rickets,,TBL-01-00-132,Jlvnln4
Motor (musculoskeletal) system,Congenital disease,Scoliosis,,TBL-01-00-133,Jlvnlqk
Motor (musculoskeletal) system,Congenital diseases,Entropion,,TBL-01-00-134,Jlvnlqw
Motor (musculoskeletal) system,"Osteonecrosis, Osteodystrophy, Cartilage Disorders",Idiopathic osteonecrosis of the femoral head,,TBL-01-00-135,JlvnlrA
Motor (musculoskeletal) system,"Osteonecrosis, osteodystrophy, cartilage disorders",Osteochondritis dissecans,,TBL-01-00-136,JlvnlrQ
Motor (musculoskeletal) system,None None,"Spondylolisthesis, myelopathy, and radiculopathy (including ossification of spinal ligaments)",,TBL-01-00-137,JlvnlpU
Motor (musculoskeletal) system,None None,Spinal disc herniation,●,TBL-01-00-138,Jlvnlpg
Motor (musculoskeletal) system,None None,Spinal canal stenosis,●,TBL-01-00-139,Jlvnlpo
Motor (musculoskeletal) system,None None,Spondylolysis/Spondylolisthesis,,TBL-01-00-140,Jlvnlps
Motor (musculoskeletal) system,None None,Arthritis,,TBL-01-00-141,JlvnloE
Motor (musculoskeletal) system,None None,Tendonitis,,TBL-01-00-142,JlvnloI
Motor (musculoskeletal) system,None None,Bursitis,,TBL-01-00-143,JlvnloQ
Motor (musculoskeletal) system,None None,Joint contracture,,TBL-01-00-144,JlvnlnY
Motor (musculoskeletal) system,Arthropathy,Osteoarthritis,●,TBL-01-00-145,Jlvnloc
Motor (musculoskeletal) system,Arthropathy,Hallux valgus,,TBL-01-00-146,Jlvnlok
Motor (musculoskeletal) system,Arthropathy,"External knee, Inverted knee, Ankylosis",,TBL-01-00-147,Jlvnloo
Motor (musculoskeletal) system,Arthropathy,Neuropathic arthritis,,TBL-01-00-148,Jlvnlo8
Motor (musculoskeletal) system,None None,Elbow disorders,,TBL-01-00-149,JlvnlnM
Motor (musculoskeletal) system,None None,Lateral epicondylitis of humerus,,TBL-01-00-150,JmpYnGs
Motor (musculoskeletal) system,Chronic pain of musculoskeletal system,Periarthritis of shoulder joint,,TBL-01-00-151,JlvnlqI
Motor (musculoskeletal) system,Chronic musculoskeletal pain,Shoulder stiffness,,TBL-01-00-152,JlvnlqA
Cardiovascular system,Heart failure,Left heart failure,,TBL-01-00-153,Jlvnlrk
Cardiovascular system,Heart failure,Right heart failure,,TBL-01-00-154,Jlvnlro
Cardiovascular system,Heart failure,Acute heart failure,,TBL-01-00-155,Jlvnlrw
Cardiovascular system,Heart failure,Chronic heart failure,,TBL-01-00-156,Jlvnlr4
Cardiovascular System,Ischemic heart disease,Exertional angina pectoris,●,TBL-01-00-157,Jlvnlr8
Cardiovascular System,Ischemic heart disease,Coronary angina pectoris,●,TBL-01-00-158,JlvnlsE
Cardiovascular System,Ischemic heart disease,Unstable angina pectoris,●,TBL-01-00-159,JlvnlsI
Cardiovascular System,Ischemic heart disease,Acute myocardial infarction,●,TBL-01-00-160,JlvnlsQ
Cardiovascular System,Arrhythmia,Sinusoidal Failure Syndrome,,TBL-01-00-161,JlvnlsU
Cardiovascular System,Arrhythmia,Atrioventricular block,●,TBL-01-00-162,Jlvnlsc
Cardiovascular System,Arrhythmia,Atrial fibrillation,●,TBL-01-00-163,Jlvnlsg
Cardiovascular System,Arrhythmia,Atrial flutter,●,TBL-01-00-164,Jlvnlso
Cardiovascular System,Arrhythmia,Paroxysmal supraventricular tachycardia,●,TBL-01-00-165,Jlvnlsw
Cardiovascular System,Arrhythmia,Ventricular tachycardia,●,TBL-01-00-166,Jlvnls0
Cardiovascular System,Arrhythmia,Multisource ventricular tachycardia (torsades de pointes),,TBL-01-00-167,Jlvnls8
Cardiovascular System,Arrhythmia,Ventricular fibrillation,●,TBL-01-00-168,JlvnltA
Cardiovascular System,Arrhythmia,Extrasystoles (supraventricular and ventricular),●,TBL-01-00-169,JlvnltI
Cardiovascular System,Arrhythmia,WPW syndrome,,TBL-01-00-170,JlvnltU
Cardiovascular System,Arrhythmia,Brugada syndrome,,TBL-01-00-171,Jlvnltc
Cardiovascular System,Valvular,Mitral valve disease (stenosis/septal insufficiency),●,TBL-01-00-172,Jlvnltg
Cardiovascular System,Valvular,Aortic valve disease (stenosis/atresia),●,TBL-01-00-173,Jlvnlts
Cardiovascular System,Valvular disease,Tricuspid valve regurgitation,,TBL-01-00-174,Jlvnlt4
Cardiovascular System,Myocardial and pericardial diseases,"Idiopathic cardiomyopathy (hypertrophic, dilated, constricted)",●,TBL-01-00-175,JlvnluA
Cardiovascular System,Myocardial and pericardial diseases,Secondary myocardial disease,,TBL-01-00-176,JlvnluU
Cardiovascular System,Myocardial and pericardial diseases,Acute myocarditis,●,TBL-01-00-177,JlvnluY
Cardiovascular System,Myocardial and pericardial diseases,Infective endocarditis,●,TBL-01-00-178,Jlvnlug
Cardiovascular System,Myocardial and pericardial diseases,Acute pericarditis,,TBL-01-00-179,Jlvnluk
Cardiovascular System,Myocardial and pericardial diseases,Contractile pericarditis,,TBL-01-00-180,Jlvnlus
Cardiovascular System,Myocardial and pericardial diseases,Cardiac tamponade,,TBL-01-00-181,Jlvnluw
Cardiovascular System,Congenital heart disease,Atrial septal defect,,TBL-01-00-182,Jlvnlu4
Cardiovascular System,Congenital heart disease,Ventricular septal defect,,TBL-01-00-183,Jlvnlu8
Cardiovascular System,Congenital heart disease,Open ductus arteriosus,,TBL-01-00-184,JlvnlvE
Cardiovascular System,Congenital heart disease,Tetralogy of Fallot,,TBL-01-00-185,JlvnlvM
Cardiovascular System,Arterial Disease,Atherosclerosis,,TBL-01-00-186,JlvnlvQ
Cardiovascular System,Arterial Disease,Acute aortic dissection,●,TBL-01-00-187,JlvnlvY
Cardiovascular System,Arterial Disease,"Aortic aneurysm (thoracic, abdominal)",●,TBL-01-00-188,Jlvnlvc
Cardiovascular System,Arterial Disease,Arteriosclerosis obliterans,●,TBL-01-00-189,Jlvnlvk
Cardiovascular System,Arterial Disease,Buerger's disease,,TBL-01-00-190,Jlvnlvo
Cardiovascular System,Arterial Disease,Takayasu arteritis (aortitis syndrome),,TBL-01-00-191,Jlvnlvw
Cardiovascular System,Venous and Lymphatic Vessel Disease,Deep vein thrombosis,●,TBL-01-00-192,Jlvnlv0
Cardiovascular System,Venous and Lymphatic Disease,Superior vena cava syndrome,,TBL-01-00-193,JlvnlwE
Cardiovascular System,Venous and Lymphatic Vessel Disease,Varicose veins of the lower extremities,●,TBL-01-00-194,JlvnlwI
Cardiovascular System,Venous and Lymphatic Diseases,Lymphedema,,TBL-01-00-195,JlvnlwQ
Cardiovascular System,Hypertension,Hypertension (essential and secondary),,TBL-01-00-196,JlvnlwU
Cardiovascular System,Hypertension,Hypertensive emergencies,,TBL-01-00-197,Jlvnlwg
Cardiovascular System,Hypotension,Orthostatic hypotension,●,TBL-01-00-198,Jlvnlwo
Cardiovascular System,Hypotension,Ataxic syncope,,TBL-01-00-199,Jlvnlws
Respiratory System,Respiratory failure,Hypoxemia and hypercarbonemia,,TBL-01-00-200,Jlvnlw8
Respiratory system,Respiratory Infections,Acute upper respiratory tract infection (cold syndrome),●,TBL-01-00-201,JlvnlxA
Respiratory system,Respiratory Infections,Tonsillitis,●,TBL-01-00-202,JlvnlxI
Respiratory system,Respiratory Infections,Bronchitis,●,TBL-01-00-203,JlvnlxM
Respiratory system,Respiratory Infections,Bronchiolitis,,TBL-01-00-204,JlvnlxU
Respiratory system,Respiratory Infections,Pneumonia (typical and atypical),●,TBL-01-00-205,Jlvnlxc
Respiratory system,Respiratory Infections,Pulmonary tuberculosis,●,TBL-01-00-206,Jlvnlxg
Respiratory system,Respiratory Infections,Atypical (nontuberculous) mycobacterial infection,,TBL-01-00-207,Jlvnlxo
Respiratory system,Respiratory Infections,Pulmonary mycosis,,TBL-01-00-208,Jlvnlxs
Respiratory system,Respiratory Infections,Swallowing lung disease,,TBL-01-00-209,Jlvnlx0
Respiratory system,Respiratory Infections,Pulmonary pyogenic disease and pyothorax,,TBL-01-00-210,Jlvnlx4
Respiratory system,Respiratory Infections,Croup Syndrome,,TBL-01-00-211,JlvnlyA
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Chronic obstructive pulmonary disease (COPD),●,TBL-01-00-212,JlvnlyE
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Emphysematous cysts (Brev-Bra),,TBL-01-00-213,JlvnlyM
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Bronchial asthma (including cough asthma),●,TBL-01-00-214,JlvnlyQ
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Idiopathic interstitial pneumonia,,TBL-01-00-215,JlvnlyY
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Collagen vasculitis-associated interstitial pneumonia,,TBL-01-00-216,Jlvnlyc
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Silicosis lung,,TBL-01-00-217,Jlvnlyw
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Asbestos lung,,TBL-01-00-218,Jlvnly4
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Diffuse panbronchiolitis,,TBL-01-00-219,Jlvnlyk
Respiratory system,Obstructive and Restrictive Ventilation Disorders,Radiation pneumonitis,,TBL-01-00-220,Jlvnlys
Respiratory system,Impaired pulmonary circulation,Pulmonary heart,,TBL-01-00-221,Jlvnly8
Respiratory system,Impaired pulmonary circulation,Pulmonary thromboembolism,●,TBL-01-00-222,JlvnlzI
Respiratory system,Pulmonary circulatory disorders,Pulmonary hypertension (primary and secondary),,TBL-01-00-223,JlvnlzQ
Respiratory system,Lung Diseases by Immunological Mechanisms,Hypersensitivity pneumonitis,,TBL-01-00-224,Jlvnlzk
Respiratory system,Lung Disease by Immunologic Mechanisms,Sarcoidosis,,TBL-01-00-225,Jlvnlzo
Respiratory system,Lung Disease by Immunological Mechanisms,Eosinophilic pneumonia,,TBL-01-00-226,Jlvnlzw
Respiratory system,Lung Disease by Immunological Mechanisms,Drug-induced pneumonia,,TBL-01-00-227,Jlvnlz0
Respiratory system,Lung Diseases by Immunologic Mechanisms,Allergic bronchopulmonary aspergillosis <ABPA,,TBL-01-00-228,Jlvnlz8
Respiratory system,Abnormal respiration,Hyperventilation syndrome,,TBL-01-00-229,Jlvnl0A
Respiratory system,Abnormal respiration,Sleep apnea syndrome,●,TBL-01-00-230,Jlvnl0I
Respiratory system,Other Mechanisms of Lung Disease,Bronchiectasis,,TBL-01-00-231,Jlvnl0U
Respiratory system,Other Mechanisms of Lung Disease,Aerobic lung,,TBL-01-00-232,Jlvnl0c
Respiratory system,Impaired pulmonary circulation,Acute respiratory distress syndrome (ARDS),●,TBL-01-00-233,JlvnlzE
Respiratory system,Other Mechanisms of Lung Disease,Neonatal respiratory distress syndrome <IRDS,,TBL-01-00-234,Jlvnl0g
Respiratory system,Other Mechanisms of Lung Disease,Lung lymphangioleiomyomatosis <LAM,,TBL-01-00-235,Jlvnl0o
Respiratory system,Other Mechanisms of Lung Disease,Alveolar proteinosis,,TBL-01-00-236,Jlvnl0s
Respiratory system,"Pleura, mediastinal disease, diaphragm",Pleurisy,,TBL-01-00-237,Jlvnl08
Respiratory system,"Pleura, mediastinal disease, diaphragm","Pneumothorax (spontaneous, tension, traumatic)",●,TBL-01-00-238,Jlvnl1A
Respiratory system,"Pleura, mediastinal disease, diaphragm",Mediastinal emphysema,,TBL-01-00-239,Jlvnl1U
Respiratory system,"Pleura, mediastinal disease, diaphragm",Hemothorax,,TBL-01-00-240,Jlvnl1Y
Respiratory system,"Pleura, mediastinal disease, diaphragm",Mediastinitis,,TBL-01-00-241,Jlvnl1o
Respiratory system,"pleura, mediastinal disease, diaphragm",Thoracic deformity (funnel chest),,TBL-01-00-242,Jlvnl1s
Respiratory system,"pleura, mediastinal disease, diaphragm",Diaphragmatic nerve paralysis,,TBL-01-00-243,Jlvnl10
Respiratory system,"Pleura, mediastinal disease, diaphragm",Diaphragmatic hernia,,TBL-01-00-244,Jlvnl14
Digestive system,Esophageal Diseases,Esophageal and gastric varices,●,TBL-01-00-245,Jlvnl2E
Digestive system,Esophageal Disease,Gastroesophageal reflux disease (GERD),●,TBL-01-00-246,Jlvnl2M
Digestive system,Esophageal Disease,Reflux esophagitis,,TBL-01-00-247,Jlvnl2U
Digestive Organs,Esophageal Diseases,Mallory-Weiss syndrome,,TBL-01-00-248,Jlvnl2Y
Digestive Organs,Esophageal Diseases,Esophageal achalasia,,TBL-01-00-249,Jlvnl2g
Digestive Organs,Gastroduodenal Diseases,"Peptic ulcer（Gastric ulcer, duodenal ulcer)",●,TBL-01-00-250,Jlvnl2k
Digestive Organs,Gastroduodenal Diseases,Helicobacter pylori infection,,TBL-01-00-251,Jlvnl2s
Digestive Organs,Gastroduodenal Diseases,Acute gastric mucosal lesions,,TBL-01-00-252,Jlvnl24
Digestive Organs,Gastroduodenal disease,Chronic gastritis,,TBL-01-00-253,Jlvnl3E
Digestive Organs,Gastroduodenal disease,Functional gastrointestinal disorders (functional dyspepsia (FD)),●,TBL-01-00-254,Jlvnl3Q
Digestive Organs,Gastroduodenal Diseases,Gastric polyps,,TBL-01-00-255,Jlvnl2w
Digestive Organs,Gastroduodenal disease,Postgastrectomy syndrome,,TBL-01-00-256,Jlvnl3M
Digestive Organs,Gastroduodenal disease,Hypertrophic pyloric stenosis,,TBL-01-00-257,Jlvnl3Y
Digestive Organs,Gastroduodenal disease,Gastric anisakiasis,,TBL-01-00-258,Jlvnl3c
Digestive Organs,Small and large intestine disease,Diverticulitis of the colon,,TBL-01-00-259,Jlvnl38
Digestive Organs,Small and large intestine disease,Diverticular hemorrhage,,TBL-01-00-260,Jlvnl4E
Digestive Organs,Small and large intestine,Acute appendicitis,●,TBL-01-00-261,Jlvnl3k
Digestive Organs,Small and large intestine,Intestinal obstruction,●,TBL-01-00-262,Jlvnl3o
Digestive Organs,Small and large intestine,Intestinal polyposis,,TBL-01-00-263,Jlvnl4g
Digestive Organs,Small and large intestine,Hemorrhoids and fistulas,●,TBL-01-00-264,Jlvnl30
