index,UID,l2,l2_desc,l1_UID
PS-02,JnGT9qc,"Normal structure and function, pathology, diagnosis, and treatment of various organs of the human body","Understand the structure and function of each organ of the human body and be able to use knowledge of etiology, pathophysiology, syndromes, diagnosis and treatment of major diseases clinically.",JnGV10k
PS-03,JnGT9qk,"Physiological changes throughout the body, pathology, diagnosis, and treatment","Understand cross-organ and systemic physiological changes and use knowledge of etiology, pathophysiology, syndromes, diagnosis and treatment of major diseases clinically.",JnGV10k
IT-01,JnGUMDo,"Ethics and rules for dealing with information, science and technology","Understand the ethics, digital professionalism, and basic principles necessary for handling information science and technology in medical care, research, and other settings.",JnGV10s
IT-02,JnGUMDw,"Principles of information, science, and technology necessary for medical care and the society surrounding it","Understand the basic theories related to information and scientific technology necessary for safe and high quality medical care and medical research, and acquire the attitude to adapt this knowledge to one's own learning and medical care.",JnGV10s
IT-03,JnGUMD0,"Use of information, science, and technology in medical practice","Acquire practical skills in ICT tools and digital communication skills effective for optimizing patient care and learning, including telemedicine.",JnGV10s
CS-01,JnGUW2g,Patient information collection,"Collect information necessary for medical treatment by utilizing various resources related to the patient, family, and medical staff.",JnGV10w
CS-02,JnGUW2o,"Integration, analysis and evaluation of patient information and treatment planning","Integrate all the information obtained, analyze it from various perspectives, and plan the medical care to be provided after evaluating the medical care needed.",JnGV10w
CS-03,JnGUW2s,"Implementation of response, including treatment","Propose or implement necessary medical care in collaboration with the patient, family, and medical staff based on the evaluation of the patient's condition.",JnGV10w
CS-04,JnGUW20,Review and improvement of medical treatment process,"To be able to reflect on the medical care provided, verbalize it, explain it to others, and improve it for the next time.",JnGV10w
CS-05,JnGUW24,Quality of care and patient safety,"To reflect on one's own actions from the perspective of quality of medical care and patient safety, and to acquire an organizational improvement and patient-centered perspective.",JnGV10w
CM-01,JnGUZAo,"Wording, attitude, personal appearance, and consideration in dealing with patients","Establish good relationships with patients through appropriate communication skills, including non-verbal communication, taking into consideration their privacy, distress, etc.",JnGV104
CM-02,JnGUZAw,"Supporting patient decision-making, gathering information for that purpose, and providing clear explanations","Support patients in making the best decisions regarding their own treatment and management, taking into consideration the diversity of patients and their families, and explaining necessary information in an easy-to-understand manner.",JnGV104
CM-03,JnGUZA0,Understanding and taking into consideration the needs of patients and their families,"Have a broad perspective on the psychological and social backgrounds of patients and their families, and respond to patients' difficulties and provide necessary information.",JnGV104
IP-01,JnGUPik,Foundation for Collaboration,"Can communicate roles, knowledge, opinions, and values with consideration for each other's differing backgrounds and in the process of setting common goals with collaborating parties regarding important issues for patients, users, families, and the community.",JnGV11A
IP-02,JnGUPio,Collaborative Practice,"Based on the roles, thoughts, actions, feelings, and values of oneself and others, build a relationship of trust in the professions with which one collaborates, and respond appropriately to the conflicts that sometimes arise between professions, while utilizing each other's knowledge and skills to fulfill one's role as a profession.",JnGV11A
SO-01,JnGTvDo,Social Security,"Understand the social security system that protects the constitutional ""right to life,"" what public health is, community health, occupational health, and health risk management. Learn the significance and usage of health statistics.",JnGV11E
SO-02,JnGTvDw,Epidemiology & Medical Statistics,"Learn the concept and significance of epidemiology, a research method for human populations, and major research designs. Understand the basic concepts of statistical methods in medicine and biology.",JnGV11E
SO-03,JnGTvD0,Forensic Medicine,Understand the determination of death and the diagnosis of death and autopsy.,JnGV11E
SO-04,JnGTvD8,Medical care from the viewpoint of social structure and change,Appropriately understand the social issues behind the health problems faced by patients and actively take action to solve them.,JnGV11E
SO-05,JnGTvEA,Medicine from national and international perspectives,Understand the role of medicine and the medical system as defined by the national and international community.,JnGV11E
SO-06,JnGTvEI,Medical care from a social science perspective,"Understand the views of health and the behaviors and relationships of people generated in medical, cultural, and social contexts, and apply them to clinical practice from the perspectives, theories, and methods of the social sciences (mainly medical anthropology and medical sociology).",JnGV11E
