index,UID,l3,l2_UID
PS-03-04,JnIAsvE,Tumors,JnGT9qk
PS-03-05,JnIAsvM,Emergency system (including diseases caused by poisoning and environmental factors),JnGT9qk
PS-03-06,JnIAsvU,"Biological effects of radiation and appropriate use of radiation, radiation injury",JnGT9qk
IT-01-01,JnIBpxU,"Preparing to Face Information, Science and Technology",JnGUMDo
IT-01-02,JnIBpxY,Ethics and Rules for Using Information and Technology,JnGUMDo
IT-02-01,JnIBpxc,"Medical treatment using information, science and technology",JnGUMDw
IT-02-02,JnIBpxg,"Advanced Knowledge of Information, Science and Technology",JnGUMDw
IT-03-01,JnIBpxk,"Communication Skills Using Information, Science and Technology",JnGUMD0
IT-03-02,JnIBpxs,"Learning Skills Using Information, Science and Technology",JnGUMD0
CS-01-01,JnICVTo,Medical Interview,JnGUW2g
CS-01-02,JnICVTs,Physical Findings,JnGUW2g
CS-02-01,JnICVT0,Medical Record,JnGUW2o
CS-02-02,JnICVT8,Clinical Reasoning,JnGUW2o
CS-02-03,JnICVUA,"Examination (planning, analytical evaluation)",JnGUW2o
CS-02-04,JnICVUI,Treatment (plan and progress evaluation),JnGUW2o
CS-02-05,JnICVUM,Educational plan,JnGUW2o
CS-03-01,JnICVUU,Investigation technique,JnGUW2s
CS-03-02,JnICVUY,Treatment technique,JnGUW2s
CS-03-03,JnICVUg,Emergency and initial response,JnGUW2s
CS-03-04,JnICVUk,Documentation,JnGUW2s
CS-03-05,JnICVUo,Collaboration for Patient Care,JnGUW2s
CS-03-06,JnICVUs,Clinical Plan Conferences,JnGUW2s
CS-04-01,JnICVU0,Reflection Conference,JnGUW20
CS-05-01,JnICVU4,Quality improvement of medical care,JnGUW24
CS-05-02,JnICVVA,Health Management of Health Care Workers,JnGUW24
CS-05-03,JnICVVE,Safety Management System,JnGUW24
CS-05-04,JnICVVM,Infection Control,JnGUW24
CS-05-05,JnICVVQ,Patient Safety Considerations and Promotion,JnGUW24
CS-05-06,JnICVVY,Patient Safety Practices,JnGUW24
CM-01-01,JnICfjk,Appropriate Communication Skills for Patients and Families,JnGUZAo
CM-01-02,JnICfjs,Respecting for the patient's situation and consideration of pain,JnGUZAo
CM-02-01,JnICfjw,Explaining to the patient in simple language,JnGUZAw
CM-02-02,JnICfj4,Encouraging patients to change their behavior,JnGUZAw
CM-02-03,JnICfj8,Supporting Patient Decision-Making,JnGUZAw
CM-03-01,JnICfkE,Identification of patient/family issues and acquisition of necessary information,JnGUZA0
CM-03-02,JnICfkI,Consideration of the psychological and social backgrounds of patients and their families,JnGUZA0
IP-01-01,JnIB3j0,Patient-Centered Health and Welfare,JnGUPik
IP-01-02,JnIB3kA,Interprofessional Communication,JnGUPik
IP-01-03,JnIB3kE,Referral and Consultation between Physicians,JnGUPik
IP-02-01,JnIB3kM,Occupational Roles,JnGUPio
IP-02-02,JnIB3kQ,Relationship Management,JnGUPio
IP-02-03,JnIB3kY,Reflection on one's own profession,JnGUPio
IP-02-04,JnIB3kc,Understanding of other professions,JnGUPio
SO-01-01,JnH_3oE,Public Health,JnGTvDo
SO-01-02,JnH_3oM,"Social Insurance, Public Assistance, Social Welfare",JnGTvDo
SO-01-03,JnH_3oU,Community health,JnGTvDo
SO-01-04,JnH_3oY,Occupational and Environmental Health,JnGTvDo
SO-01-05,JnH_3og,Health Crisis Management,JnGTvDo
SO-02-01,JnH_3ok,Health Statistics,JnGTvDw
SO-02-02,JnH_3os,Epidemiology,JnGTvDw
SO-02-03,JnH_3ow,Data Analysis and Statistical Methods,JnGTvDw
SO-03-01,JnH_3o4,Death and the Law,JnGTvD0
SO-04-01,JnH_3o8,Health and Medical Care,JnGTvD8
SO-04-02,JnH_3pE,Gender and Health Care,JnGTvD8
SO-04-03,JnH_3pM,Climate Change and Health Care,JnGTvD8
SO-04-04,JnH_3pQ,"Philosophy, Ethics and Medicine",JnGTvD8
SO-04-05,JnH_3pY,History and Medicine/Medical Care,JnGTvD8
SO-04-06,JnH_3pc,Health Economics,JnGTvD8
SO-04-07,JtPHwC4,,JnGTvD8
SO-05-01,JnH_3pk,Role of Domestic Medical Profession and Medical System,JnGTvEA
SO-05-02,JnH_3po,Roles and systems of global health,JnGTvEA
SO-06-01,JnH_3pw,Relationship between social science and medicine,JnGTvEI
