index,id,item,ddx
TBL-05-00-018,JlAK6mo,abdominal pain,"Peptic ulcer, functional dyspepsia <FD>, acute gastroenteritis, acute appendicitis, constipation, generalized peritonitis, irritable bowel syndrome, intestinal obstruction, intestinal stacking, inguinal hernia, cholecystitis, cholelithiasis, acute pancreatitis, acute coronary syndrome, acute aortic dissection, miscarriage or premature delivery, ovarian cysts (distal), ovarian cancer (distal), endometriosis, urinary tract calculus, diverticulitis Endometriosis, urinary tract stones, diverticulitis, ischemic colitis, mesenteric artery embolism, ectopic pregnancy, diabetic ketoacidosis, acute gastroenteritis, acute appendicitis, acute gastroenteritis, acute gastroenteritis"
TBL-05-00-019,JlAK6ms,nausea/vomiting,"Acute gastroenteritis, acute appendicitis, intestinal obstruction, food poisoning, cerebral hemorrhage, migraine, subarachnoid hemorrhage, intracranial hematoma, meningitis, acute myocardial infarction, pregnancy, diabetic ketoacidosis, abnormal calcium metabolism"
TBL-05-00-020,JlAK6mw,hematemesis,"Esophageal varices, peptic ulcer, gastric cancer, Mallory-Weiss syndrome"
TBL-05-00-021,JlAK6m0,lower blood pressure,"Peptic ulcer, inflammatory bowel disease, colorectal cancer, hemorrhoids, anal fissures, ischemic colitis, diverticular bleeding"
TBL-05-00-022,JlAK6m4,constipation,"Constipation, irritable bowel syndrome, hypothyroidism, drug-induced, Parkinson's disease, intestinal obstruction, colon cancer"
TBL-05-00-023,JlAK6m8,diarrhea,"Acute gastroenteritis, inflammatory bowel disease, irritable bowel syndrome, hyperthyroidism, drug-induced"
TBL-05-00-024,JlAK6nA,jaundice,"Acute hepatitis, chronic hepatitis, liver cirrhosis, liver cancer, cholangitis, pancreatic cancer, drug-induced, hemolytic anemia, drug-induced, cholangiocarcinoma, physiologic jaundice"
TBL-05-00-025,JlAK6nE,abdominal distention or mass,"Intestinal obstruction, inguinal hernia, cirrhosis, pregnancy"
TBL-05-00-026,JlAK6nI,lymphadenopathy,"Tonsillitis, viral rash (rubella), tuberculosis, malignant lymphoma, other malignancies in general, infectious mononucleosis"
TBL-05-00-027,JlAK6nM,Abnormal urine output/urination,"Diabetes mellitus, drug-induced, urinary storage disorders, urinary tract infection, benign prostatic hyperplasia, overactive bladder, neurogenic bladder"
TBL-05-00-028,JlAK6nQ,hematuria,"glomerulonephritis syndrome, renal cell carcinoma, urinary tract stones, urinary tract infection, bladder cancer"
TBL-05-00-029,JlAK6nU,menstrual abnormalities,"Pregnancy, drug-induced, dysmenorrhea, endometriosis, uterine cancer, menopausal disorders"
TBL-05-00-030,JlAK6nY,Anxiety/depression,"Depression, bipolar disorder, anxiety disorder, hyperthyroidism, malignant tumor, dementia, Parkinson's disease, hypothyroidism, malignant tumor, drug-induced, adjustment disorder"
TBL-05-00-031,JlAK6nc,Cognitive impairment,"stroke, dementia, Parkinson's disease, depression, hypothyroidism, drug-induced, normal pressure hydrocephalus, chronic subdural hematoma"
TBL-05-00-032,JlAK6ng,Headache,"Tension headache, migraine, drug-induced, meningitis, cerebral hemorrhage, subarachnoid hemorrhage, glaucoma, acute sinusitis, cluster headache, giant cell arteritis (temporal arteritis)"
TBL-05-00-033,JlAK6nk,Motor paralysis and muscle weakness,"Cerebral infarction, transient ischemic attack, cerebral hemorrhage, intracranial hematoma, epilepsy, spinal cord injury, herniated disc, polymyositis, dermatomyositis, amyotrophic lateral sclerosis, Guillain-Barre syndrome, abnormal potassium metabolism"
TBL-05-00-034,JlAK6no,Gait disturbance,"Cerebral hemorrhage, intracranial hematoma, cerebral infarction, Parkinson's disease, osteoarthritis, spinal canal stenosis, herniated disc, osteoarthritis, fracture"
TBL-05-00-035,JlAK6ns,Sensory disturbance,"Spinal canal stenosis, herniated disc, diabetes, polyneuritis"
TBL-05-00-036,JlAK6nw,Lumbar back pain,"Acute aortic dissection, acute pancreatitis, pancreatic cancer, ureteral calculus, herniated disc, osteoarthritis, spinal canal stenosis, spinal compression fracture, acute back pain, pyogenic spondylitis"
TBL-05-00-037,JlAK6n0,Arthralgia/joint swelling,"Gout, trauma, rheumatoid arthritis, systemic lupus erythematosus (SLE), pseudogout, reactive arthritis, pyogenic arthritis"
