index,UID,l3,l2_UID
IT-02-01,JnIBpxc,情報・科学技術を活用した医療,JnGUMDw
IT-02-02,JnIBpxg,情報・科学技術の先端知識,JnGUMDw
IT-03-01,JnIBpxk,情報・科学技術を活用したコミュニケーションスキル,JnGUMD0
IT-03-02,JnIBpxs,情報・科学技術を活用した学習スキル,JnGUMD0
CS-01-01,JnICVTo,医療面接,JnGUW2g
CS-01-02,JnICVTs,身体所見,JnGUW2g
CS-02-01,JnICVT0,診療録記載,JnGUW2o
CS-02-02,JnICVT8,臨床推論,JnGUW2o
CS-02-03,JnICVUA,検査(計画、分析評価),JnGUW2o
CS-02-04,JnICVUI,治療(計画、経過の評価),JnGUW2o
CS-02-05,JnICVUM,教育計画,JnGUW2o
CS-03-01,JnICVUU,検査手技,JnGUW2s
CS-03-02,JnICVUY,治療手技,JnGUW2s
CS-03-03,JnICVUg,救急・初期対応,JnGUW2s
CS-03-04,JnICVUk,書類の作成,JnGUW2s
CS-03-05,JnICVUo,患者ケアに必要な連携,JnGUW2s
CS-03-06,JnICVUs,診療計画カンファレンス,JnGUW2s
CS-04-01,JnICVU0,振り返りカンファレンス,JnGUW20
CS-05-01,JnICVU4,医療の質向上,JnGUW24
CS-05-02,JnICVVA,医療従事者の健康管理,JnGUW24
CS-05-03,JnICVVE,安全管理体制,JnGUW24
CS-05-04,JnICVVM,感染制御,JnGUW24
CS-05-05,JnICVVQ,患者安全の配慮と促進,JnGUW24
CS-05-06,JnICVVY,患者安全の実践,JnGUW24
CM-01-01,JnICfjk,患者・家族への適切なコミュニケーションスキルの活用,JnGUZAo
CM-01-02,JnICfjs,患者の立場の尊重と苦痛への配慮,JnGUZAo
CM-02-01,JnICfjw,患者へのわかりやすい言葉の説明,JnGUZAw
CM-02-02,JnICfj4,患者への行動変容の促し,JnGUZAw
CM-02-03,JnICfj8,患者の意思決定の支援,JnGUZAw
CM-03-01,JnICfkE,患者・家族の課題の把握と必要な情報の取得,JnGUZA0
CM-03-02,JnICfkI,患者・家族の心理・社会的背景に配慮した診療,JnGUZA0
IP-01-01,JnIB3j0,患者中心の保健医療福祉,JnGUPik
IP-01-02,JnIB3kA,職種間コミュニケーション,JnGUPik
IP-01-03,JnIB3kE,医師間の紹介と相談,JnGUPik
IP-02-01,JnIB3kM,職種役割,JnGUPio
IP-02-02,JnIB3kQ,関係性への働きかけ,JnGUPio
IP-02-03,JnIB3kY,自職種の省察,JnGUPio
IP-02-04,JnIB3kc,他職種の理解,JnGUPio
SO-01-01,JnH_3oE,公衆衛生,JnGTvDo
SO-01-02,JnH_3oM,社会保険、公的扶助、社会福祉,JnGTvDo
SO-01-03,JnH_3oU,地域保健,JnGTvDo
SO-01-04,JnH_3oY,産業保健・環境保健,JnGTvDo
SO-01-05,JnH_3og,健康危機管理,JnGTvDo
SO-02-01,JnH_3ok,保健統計,JnGTvDw
SO-02-02,JnH_3os,疫学,JnGTvDw
SO-02-03,JnH_3ow,データ解析と統計手法,JnGTvDw
SO-03-01,JnH_3o4,死と法,JnGTvD0
SO-04-01,JnH_3o8,健康と医療,JnGTvD8
SO-04-02,JnH_3pE,ジェンダーと医療,JnGTvD8
SO-04-03,JnH_3pM,気候変動と医療,JnGTvD8
SO-04-04,JnH_3pQ,哲学と医療,JnGTvD8
SO-04-05,JnH_3pY,歴史と医学・医療,JnGTvD8
SO-04-06,JnH_3pc,医療経済,JnGTvD8
SO-04-07,JtPHwC4,社会的公正,JnGTvD8
SO-05-01,JnH_3pk,国内の医療職の役割や医療体制,JnGTvEA
SO-05-02,JnH_3po,グルーバルヘルスの役割や医療体制,JnGTvEA
SO-06-01,JnH_3pw,社会科学と医療との関係,JnGTvEI
