index,UID,l2,l2_desc,l1_UID
CS-03,JnGUW2s,治療を含む対応の実施,患者の状態の評価に基づいて患者本人、家族、医療スタッフと連携し、必要な医療を提案または実施できる。,JnGV10w
CS-04,JnGUW20,診療経過の振り返りと改善,実施された医療を省察し、言語化して他者に説明し、次回に向けて改善につなげることができる。,JnGV10w
CS-05,JnGUW24,医療の質と患者安全,医療の質と患者安全の観点で自己の行動を省察し、組織改善と患者中心の視点を獲得する。,JnGV10w
CM-01,JnGUZAo,患者に接する言葉遣い・態度・身だしなみ・配慮,患者のプライバシー、苦痛等に配慮し、非言語コミュニケーションを含めた適切なコミュニケーションスキルにより良好な人間関係を築くことができる。,JnGV104
CM-02,JnGUZAw,患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者や家族の多様性に配慮し、必要な情報についてわかりやすく説明を行い、患者の主体的な治療やマネジメントに関する最善の意思決定を支援できる。,JnGV104
CM-03,JnGUZA0,患者や家族のニーズの把握と配慮,患者や家族の心理的、社会的背景を広い視野で捉える姿勢を持ち、患者の持つ困難や必要な情報提供に対応できる。,JnGV104
IP-01,JnGUPik,連携の基盤,患者や利用者、家族、地域の重要な課題について、協働する関係者と共通の目標を設定する過程で、背景が異なることに互いに配慮し、役割、知識、意見、価値を伝え合うことができる。,JnGV11A
IP-02,JnGUPio,協働実践,自他の役割や思考・行為・感情・価値観を踏まえ、協働する職種で信頼関係を構築し、時に生じる職種間の葛藤にも適切に対応しながら、 互いの知識・技術を活かし合い、職種としての役割を全うできる。,JnGV11A
SO-01,JnGTvDo,社会保障,憲法で定められた「生存権」を守る社会保障制度、公衆衛生とは何か、地域保健、産業保健、健康危機管理を理解する。保健統計の意義や利用法を学ぶ。,JnGV11E
SO-02,JnGTvDw,疫学・医学統計,人間集団を対象とする研究法である疫学の考え方と意義、主な研究デザインを学ぶ。医学、生物学における統計手法の基本的な考え方を理解する。,JnGV11E
SO-03,JnGTvD0,法医学,死の判定や死亡診断と死体検案を理解する。,JnGV11E
SO-04,JnGTvD8,社会の構造や変化から捉える医療,患者の抱える健康に関する問題の背景にある社会的な課題を適切に捉え、その解決のために積極的に行動する。,JnGV11E
SO-05,JnGTvEA,国内外の視点から捉える医療,国内及び国際社会の中で規定される医療の役割と医療体制について概要を理解している。,JnGV11E
SO-06,JnGTvEI,社会科学の視点から捉える医療,医学的・文化的・社会的文脈のなかで生成される健康観や人びとの言動・関係性を理解し、社会科学 (主に医療人類学・医療社会学)の視点・理論・方法から、それを臨床実践に活用することができる。,JnGV11E
